City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
133,Carnarvon,AU,2021-11-03 21:28:17,-24.8667,113.6333,64.47,82,0,16.11
134,Diamantina,BR,2021-11-03 21:24:40,-18.2494,-43.6003,68.34,75,78,4.83
135,Hami,CN,2021-11-03 21:29:17,42.8,93.45,45.41,32,0,1.01
136,Pareora,NZ,2021-11-03 21:29:18,-44.4871,171.2132,49.53,61,0,13.11
137,Kodiak,US,2021-11-03 21:29:18,57.79,-152.4072,42.31,70,75,10.36
138,Ilo,PE,2021-11-03 21:29:19,-17.6394,-71.3375,67.06,73,40,6.91
139,Qaqortoq,GL,2021-11-03 21:29:19,60.7167,-46.0333,36.1,94,100,5.88
140,Ongandjera,NA,2021-11-03 21:29:19,-17.8833,15.0667,77.81,18,3,18.72
141,Sorong,ID,2021-11-03 21:29:20,-0.8833,131.25,77.63,87,100,5.61
142,Cidreira,BR,2021-11-03 21:29:20,-30.1811,-50.2056,68.59,94,100,16.87
143,Belyy Yar,RU,2021-11-03 21:29:21,53.6039,91.3903,1.29,71,40,4.47
144,Concarneau,FR,2021-11-03 21:29:21,47.875,-3.9225,48.97,89,31,9.06
145,California City,US,2021-11-03 21:29:22,35.1258,-117.9859,81.25,21,1,1.01
146,Darya Khan,PK,2021-11-03 21:29:22,31.7912,71.1039,67.78,30,0,0.89
147,Cookeville,US,2021-11-03 21:26:45,36.1628,-85.5016,49.01,61,1,1.99
148,Leh,IN,2021-11-03 21:29:23,34.1667,77.5833,18.73,77,69,2.44
149,Tromso,NO,2021-11-03 21:29:24,69.6496,18.957,44.62,70,75,1.99
150,Bengkulu,ID,2021-11-03 21:29:24,-3.8004,102.2655,74.86,90,100,3.71
151,Ikom,NG,2021-11-03 21:29:25,5.9667,8.7063,75.87,91,71,3.06
152,Geraldton,AU,2021-11-03 21:27:48,-28.7667,114.6,52.21,87,0,5.75
153,Tumut,AU,2021-11-03 21:29:26,-35.3,148.2167,61.79,98,100,2.75
154,Nicolas Bravo,MX,2021-11-03 21:29:26,18.45,-88.9167,83.28,37,91,3.11
155,Salinopolis,BR,2021-11-03 21:29:26,-0.6136,-47.3561,81.19,79,58,9.24
156,Domoni,KM,2021-11-03 21:29:27,-12.2569,44.5319,78.21,86,20,4.29
157,Khatanga,RU,2021-11-03 21:29:27,71.9667,102.5,7.02,91,100,17.74
158,Monrovia,LR,2021-11-03 21:29:27,6.3005,-10.7969,78.57,80,8,6.33
159,Tsybli,UA,2021-11-03 21:29:28,49.9948,31.5628,35.73,76,20,2.93
160,Port Hedland,AU,2021-11-03 21:27:50,-20.3167,118.5667,68.05,94,5,5.75
161,Kargil,IN,2021-11-03 21:29:29,34.5667,76.1,22.24,70,55,4.61
162,Cairns,AU,2021-11-03 21:29:29,-16.9167,145.7667,79.07,94,75,11.5
163,Mount Gambier,AU,2021-11-03 21:29:29,-37.8333,140.7667,51.71,93,18,0.0
164,Amga,RU,2021-11-03 21:29:30,60.8953,131.9608,11.37,98,70,3.2
165,Hithadhoo,MV,2021-11-03 21:29:30,-0.6,73.0833,82.15,76,85,15.93
166,Kaitangata,NZ,2021-11-03 21:29:31,-46.2817,169.8464,52.77,48,7,5.06
167,Gersthofen,DE,2021-11-03 21:29:31,48.4167,10.8833,45.77,95,90,2.3
168,Cortez,US,2021-11-03 21:29:31,37.3489,-108.5859,62.67,30,1,8.05
169,Ponta Do Sol,PT,2021-11-03 21:29:32,32.6667,-17.1,73.0,77,100,7.36
170,Kidero,RU,2021-11-03 21:29:32,42.1932,45.9614,43.07,89,100,0.98
171,Bosobolo,CD,2021-11-03 21:29:33,4.1833,19.9,71.78,93,99,1.14
172,Marsaxlokk,MT,2021-11-03 21:29:33,35.8419,14.5431,73.08,94,20,13.8
173,Pouembout,NC,2021-11-03 21:29:33,-21.1333,164.9,74.97,61,6,5.57
174,Padang,ID,2021-11-03 21:26:39,-0.9492,100.3543,73.45,89,100,2.84
175,Kavieng,PG,2021-11-03 21:29:34,-2.5744,150.7967,82.31,80,100,15.48
176,Hammerfest,NO,2021-11-03 21:29:34,70.6634,23.6821,43.25,81,75,5.75
177,Campeche,MX,2021-11-03 21:25:54,19.0,-90.5,89.35,37,97,3.89
178,Camrose,CA,2021-11-03 21:29:35,53.0168,-112.8353,47.82,46,68,6.93
179,Bermeo,ES,2021-11-03 21:29:35,43.4209,-2.7215,51.49,79,88,13.33
180,Naze,JP,2021-11-03 21:30:36,28.3667,129.4833,64.63,65,0,11.9
181,Beroroha,MG,2021-11-03 21:30:36,-21.6667,45.1667,76.39,56,0,3.69
182,Sitka,US,2021-11-03 21:30:37,57.0531,-135.33,48.09,71,90,9.22
183,Aksarka,RU,2021-11-03 21:30:37,66.5606,67.7975,26.33,89,97,15.35
184,Sawtell,AU,2021-11-03 21:30:37,-30.3833,153.1,69.19,76,75,6.91
185,Seoul,KR,2021-11-03 21:26:09,37.5683,126.9778,51.24,97,1,2.3
186,Bakchar,RU,2021-11-03 21:30:38,57.0186,82.0711,3.52,97,72,4.56
187,Tyn Nad Vltavou,CZ,2021-11-03 21:30:38,49.2234,14.4206,50.97,99,100,1.99
188,Tazmalt,DZ,2021-11-03 21:30:39,36.3868,4.3989,59.95,80,100,6.55
189,Gorele,TR,2021-11-03 21:30:39,41.0308,39.0031,62.04,83,54,4.25
190,Hermosillo,MX,2021-11-03 21:30:02,29.0667,-110.9667,93.69,15,0,1.01
191,Chernyshevskiy,RU,2021-11-03 21:30:40,63.0128,112.4714,-1.14,98,92,1.41
192,Iberia,US,2021-11-03 21:30:40,29.9502,-91.7507,71.98,60,1,5.75
193,Verdun,FR,2021-11-03 21:26:47,49.25,5.3333,43.7,94,54,4.41
194,Verkhnyaya Balkariya,RU,2021-11-03 21:30:41,43.1279,43.4573,40.12,86,100,2.86
195,Ginda,IN,2021-11-03 21:30:41,30.6945,78.4932,45.18,42,0,6.78
196,Chabahar,IR,2021-11-03 21:30:42,25.2919,60.643,76.1,65,1,2.08
197,Punalur,IN,2021-11-03 21:30:42,9.0,76.9333,78.48,97,100,1.59
198,Opuwo,NA,2021-11-03 21:30:52,-18.0607,13.84,67.75,28,4,5.84
199,Sola,VU,2021-11-03 21:30:53,-13.8833,167.55,77.67,100,90,0.0
200,Bud,US,2021-11-03 21:30:53,39.447,-86.1758,48.97,49,91,2.24
201,Broome,US,2021-11-03 21:30:54,42.2506,-75.833,44.62,63,75,1.99
202,Kidal,ML,2021-11-03 21:30:54,18.4411,1.4078,82.62,13,35,8.48
