City_ID,City,Country,Max Temp,Weather Description,Lat,Lng,Hotel Name
132,Bilma,NE,77.45,few clouds,18.6853,12.9164,Expeditions Ténére voyages
133,Loreto,MX,70.27,clear sky,22.2667,-101.9667,José de Jesús Velásquez mora
138,Senador Jose Porfirio,BR,81.82,overcast clouds,-2.5908,-51.9542,Pousada Novo Horizonte
140,Elat,IL,71.44,clear sky,29.5581,34.9482,Club Hotel Eilat
143,Ocos,GT,84.7,overcast clouds,14.5094,-92.1933,Auto Hotel El Soñador
151,Yantzaza,EC,70.9,moderate rain,-3.8278,-78.7594,HOTEL ALEJANDRO YANTZAZA
152,Robertsport,LR,80.08,moderate rain,6.7533,-11.3686,Kwepunha Retreat
155,Beyla,GN,70.57,light rain,8.6833,-8.6333,DIAN SINKO
157,Sainte-Marie,RE,71.78,overcast clouds,-20.8968,55.5496,Les pailles en queue de Sainte Marie
160,Olinda,BR,82.13,few clouds,-8.0089,-34.8553,Hotel Albergue de Olinda
161,Oussouye,SN,80.78,overcast clouds,12.485,-16.5469,Auberge du Routard
163,Alofi,NU,82.29,light rain,-19.0595,-169.9187,Taloa Heights
166,Alyangula,AU,85.53,broken clouds,-13.8483,136.4192,Groote Eylandt Lodge
172,Sur,OM,75.31,broken clouds,22.5667,59.5289,Sur Plaza Hotel
174,Keelung,TW,76.89,scattered clouds,25.1283,121.7419,East Coast Star Boutique Hotel
177,Souillac,MU,75.58,scattered clouds,-20.5167,57.5167,Shanti Maurice Resort & Spa
179,Saint George,US,81.07,clear sky,37.1041,-113.5841,Best Western Plus Abbey Inn
180,Omboue,GA,75.94,overcast clouds,-1.5746,9.2618,Hotel Olako
184,Hithadhoo,MV,81.66,heavy intensity rain,-0.6,73.0833,Scoop Guest House
188,Meulaboh,ID,75.34,moderate rain,4.1363,96.1285,Kost Pria
191,Lakes Entrance,AU,79.16,clear sky,-37.8811,147.981,The Esplanade Resort & Spa
194,Huicungo,PE,76.86,overcast clouds,-7.2833,-76.8,Gran Pajaten Trek
195,Guerrero Negro,MX,74.48,broken clouds,27.9769,-114.0611,"Casa Laguna, Bed & Breakfast"
197,Praia Da Vitoria,PT,70.05,scattered clouds,38.7333,-27.0667,Hotel Branco I
199,Kihei,US,89.62,few clouds,20.785,-156.4656,Maui Sunset
200,Sorong,ID,80.8,light rain,-0.8833,131.25,waigo splash hotel
201,Moyale,KE,70.65,scattered clouds,3.5167,39.0584,La Tahzan Guest House
203,Fuerte,PH,80.04,clear sky,17.5381,120.3644,Giordion Inn
209,Honiara,SB,85.71,scattered clouds,-9.4333,159.95,Heritage Park Hotel
210,Mount Isa,AU,91.17,few clouds,-20.7333,139.5,ibis Styles Mt Isa Verona
221,San Isidro,PE,70.02,broken clouds,-12.1167,-77.05,Soul Mate-Inn
226,Amahai,ID,81.52,overcast clouds,-3.3333,128.9167,HOTEL ISABELA
228,Magdalena,PH,84.42,overcast clouds,14.1999,121.429,Samparada & Gestiada Residences
231,Broken Hill,AU,78.76,overcast clouds,-31.95,141.4333,Royal Exchange Hotel
232,Cocobeach,GA,78.73,overcast clouds,1.0002,9.5823,Hotel Esperance
233,Tomatlan,MX,82.76,broken clouds,19.9333,-105.25,El Salvial
236,Augusto Correa,BR,77.14,overcast clouds,-1.0217,-46.635,Fazenda Bacuri
237,Kavieng,PG,84.4,light rain,-2.5744,150.7967,Nusa Island Retreat
238,Lorengau,PG,84.61,overcast clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
242,Amarante Do Maranhao,BR,77.29,light rain,-5.5667,-46.7422,Hotéis Caçulinha
245,Kununurra,AU,84.18,overcast clouds,-15.7667,128.7333,Hotel Kununurra
247,Umm Lajj,SA,81.84,clear sky,25.0213,37.2685,Moon light Furnished Units
250,Tual,ID,83.35,overcast clouds,-5.6667,132.75,Grand Vilia Hotel
251,Bathsheba,BB,81.21,scattered clouds,13.2167,-59.5167,Atlantis Hotel
254,Luganville,VU,81.52,overcast clouds,-15.5333,167.1667,The Espiritu Hotel
255,Touros,BR,81.5,scattered clouds,-5.1989,-35.4608,INN NEW HORIZON
262,Hobyo,SO,79.7,clear sky,5.3505,48.5268,Halane Hotel and Restaurent
263,Banjar,ID,80.46,overcast clouds,-8.19,114.9675,The Hamsa Resort
265,Mpulungu,ZM,78.87,broken clouds,-8.7623,31.1141,Chela moche guest house
267,Aloleng,PH,81.55,clear sky,16.1307,119.7824,Steve Walden and Emma Sison-Walden Residence
268,Marsa Matruh,EG,70.0,scattered clouds,31.3525,27.2453,Beau Site
270,San Andres,CO,84.22,few clouds,12.5847,-81.7006,Hotel Arena Blanca
272,Progreso,MX,78.12,few clouds,21.2833,-89.6667,Playa Linda Hotel
273,Wanning,CN,74.62,scattered clouds,18.8003,110.3967,Paradise Hotel
275,Saint-Georges,GD,82.08,few clouds,12.0564,-61.7485,Radisson Grenada Beach Resort
280,Luanda,AO,77.0,scattered clouds,-8.8368,13.2343,Hotel Fórum
281,Surt,LY,77.65,overcast clouds,31.2089,16.5887,الهادي ابوشعاله سرت
282,Port Hedland,AU,82.45,few clouds,-20.3167,118.5667,The Esplanade Hotel
284,Vila Velha,BR,73.94,broken clouds,-20.3297,-40.2925,Quality Suites Vila Velha
285,Poum,NC,73.02,broken clouds,-20.2333,164.0167,Gîte kajeon
292,Dhidhdhoo,MV,81.59,overcast clouds,6.8833,73.1,Dhidhoo beach
294,Immokalee,US,75.11,broken clouds,26.4187,-81.4173,Seminole Casino Hotel Immokalee
295,El Rosario,MX,88.14,broken clouds,24.2556,-107.1828,Mi casa
296,Caravelas,BR,75.6,broken clouds,-17.7125,-39.2481,Pousada dos Navegantes
299,Yorosso,ML,87.31,broken clouds,12.3536,-4.7761,Maison d'arrêt et de correction de Yoro
301,Bambous Virieux,MU,75.45,scattered clouds,-20.3428,57.7575,Casa Tia Villa
302,Cabo San Lucas,MX,86.61,clear sky,22.8909,-109.9124,Hotel Tesoro Los Cabos
304,Flinders,AU,72.21,scattered clouds,-34.5833,150.8552,Shellharbour Resort & Conference Centre
306,Bulnes,CL,74.16,clear sky,-36.7423,-72.2985,Casa de Adobe
307,Vanimo,PG,81.39,overcast clouds,-2.6741,141.3028,Vahmoneh Lodge Vanimo
311,Lazaro Cardenas,MX,81.97,broken clouds,17.9583,-102.2,quinta antigua
312,Bandarbeyla,SO,76.26,clear sky,9.4942,50.8122,JABIR HOTEL
317,Matara,LK,76.33,overcast clouds,5.9485,80.5353,Amaloh Boutique Resort
