City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Weather Description
165,Ustka,PL,54.5805,16.8619,50.2,83,96,24.14,overcast clouds
166,Alyangula,AU,-13.8483,136.4192,85.53,62,52,8.46,broken clouds
167,Voljevac,BA,43.8786,17.6592,48.7,97,100,4.85,overcast clouds
168,Roblin,CA,51.23,-101.3565,47.48,69,85,8.84,overcast clouds
169,Nador,MA,35.174,-2.9287,50.25,81,0,2.3,clear sky
170,Bereda,ES,43.2686,-7.5406,51.91,89,92,4.88,overcast clouds
171,Hermanus,ZA,-34.4187,19.2345,57.9,74,2,4.23,clear sky
172,Sur,OM,22.5667,59.5289,75.31,60,60,7.02,broken clouds
173,Port Elizabeth,ZA,-33.918,25.5701,62.89,77,0,13.8,clear sky
174,Keelung,TW,25.1283,121.7419,76.89,86,31,5.75,scattered clouds
175,Namibe,AO,-15.1961,12.1522,67.08,80,71,3.36,broken clouds
176,Goderich,CA,43.7501,-81.7165,41.92,70,20,5.75,few clouds
177,Souillac,MU,-20.5167,57.5167,75.58,88,40,6.91,scattered clouds
178,Srednekolymsk,RU,67.45,153.6833,-5.93,94,51,3.56,broken clouds
179,Saint George,US,37.1041,-113.5841,81.07,25,1,1.01,clear sky
180,Omboue,GA,-1.5746,9.2618,75.94,89,97,6.26,overcast clouds
181,Hami,CN,42.8,93.45,16.7,70,23,6.49,few clouds
182,Codrington,AU,-38.2667,141.9667,69.62,72,100,15.19,light rain
183,Sault Sainte Marie,CA,46.5168,-84.3333,46.96,61,1,8.05,clear sky
184,Hithadhoo,MV,-0.6,73.0833,81.66,74,100,14.25,heavy intensity rain
185,Stornoway,GB,58.2093,-6.3865,49.93,93,75,6.91,moderate rain
186,Bonavista,CA,48.6499,-53.1147,35.6,79,100,6.46,light rain
187,Chokurdakh,RU,70.6333,147.9167,-9.13,91,37,5.23,scattered clouds
188,Meulaboh,ID,4.1363,96.1285,75.34,92,100,5.7,moderate rain
189,Khonsa,IN,27.0167,95.5667,55.58,88,50,3.24,scattered clouds
190,Ahipara,NZ,-35.1667,173.1667,67.01,72,11,4.94,few clouds
191,Lakes Entrance,AU,-37.8811,147.981,79.16,59,3,1.61,clear sky
192,Vieste,IT,41.8825,16.175,57.33,84,100,10.96,overcast clouds
193,Esil,KZ,51.9556,66.4042,27.86,28,100,11.65,overcast clouds
194,Huicungo,PE,-7.2833,-76.8,76.86,79,91,2.15,overcast clouds
195,Guerrero Negro,MX,27.9769,-114.0611,74.48,56,78,11.12,broken clouds
196,Neuruppin,DE,52.9282,12.8031,47.08,93,68,11.65,broken clouds
197,Praia Da Vitoria,PT,38.7333,-27.0667,70.05,88,40,22.82,scattered clouds
198,Airai,TL,-8.9266,125.4092,68.36,72,92,1.95,overcast clouds
199,Kihei,US,20.785,-156.4656,89.62,58,20,23.02,few clouds
200,Sorong,ID,-0.8833,131.25,80.8,82,90,5.64,light rain
201,Moyale,KE,3.5167,39.0584,70.65,61,35,6.6,scattered clouds
202,Huaihua,CN,27.5494,109.9592,62.49,99,100,3.36,overcast clouds
203,Fuerte,PH,17.5381,120.3644,80.04,77,8,3.8,clear sky
204,Kaitangata,NZ,-46.2817,169.8464,57.92,70,96,11.34,overcast clouds
205,Aldan,RU,58.6031,125.3894,-2.07,87,99,10.16,overcast clouds
206,Ancud,CL,-41.8697,-73.8203,58.42,68,0,2.3,clear sky
207,Hanzhong,CN,33.0728,107.0303,58.15,87,100,2.06,overcast clouds
208,Kenai,US,60.5544,-151.2583,37.15,91,20,0.0,moderate rain
209,Honiara,SB,-9.4333,159.95,85.71,66,42,3.33,scattered clouds
210,Mount Isa,AU,-20.7333,139.5,91.17,43,23,8.05,few clouds
211,Orangeburg,US,33.4918,-80.8557,49.91,64,1,8.05,clear sky
212,Chara,RU,56.9064,118.2631,-4.74,76,93,3.94,overcast clouds
213,Shestakovo,RU,56.4915,103.96,18.61,89,100,10.29,light snow
214,Menongue,AO,-14.6585,17.691,66.88,64,68,3.04,broken clouds
215,Keflavik,IS,64.0049,-22.5624,37.83,93,0,12.66,clear sky
216,Pevek,RU,69.7008,170.3133,-12.24,95,16,6.62,few clouds
217,Nizhniy Kuranakh,RU,58.8353,125.4869,3.6,83,98,10.94,overcast clouds
218,Lannion,FR,48.75,-3.4167,44.85,100,75,3.44,broken clouds
219,Tuatapere,NZ,-46.1333,167.6833,61.83,49,99,3.83,overcast clouds
220,Vanavara,RU,60.34,102.2797,13.41,85,100,14.05,overcast clouds
221,San Isidro,PE,-12.1167,-77.05,70.02,78,75,1.01,broken clouds
222,Yerbogachen,RU,61.2767,108.0108,12.99,92,100,14.81,light snow
223,Te Anau,NZ,-45.4167,167.7167,60.93,64,98,1.28,overcast clouds
224,Sasni,IN,27.7167,78.0833,66.42,39,53,5.86,broken clouds
225,Barrow,US,71.2906,-156.7887,19.42,86,90,27.63,mist
226,Amahai,ID,-3.3333,128.9167,81.52,78,96,1.39,overcast clouds
227,Haines Junction,CA,60.7522,-137.5108,30.15,86,99,0.0,overcast clouds
228,Magdalena,PH,14.1999,121.429,84.42,87,90,4.05,overcast clouds
229,Coihaique,CL,-45.5752,-72.0662,57.15,54,0,11.5,clear sky
230,Churapcha,RU,62.0025,132.4325,4.08,95,100,8.32,overcast clouds
231,Broken Hill,AU,-31.95,141.4333,78.76,31,100,17.0,overcast clouds
232,Cocobeach,GA,1.0002,9.5823,78.73,86,100,6.17,overcast clouds
233,Tomatlan,MX,19.9333,-105.25,82.76,72,74,5.06,broken clouds
234,Vostok,RU,46.4856,135.8833,35.46,71,77,4.03,broken clouds
235,Gamba,GA,-2.65,10.0,76.73,87,100,5.41,overcast clouds
236,Augusto Correa,BR,-1.0217,-46.635,77.14,86,100,3.8,overcast clouds
237,Kavieng,PG,-2.5744,150.7967,84.4,71,88,13.85,light rain
238,Lorengau,PG,-2.0226,147.2712,84.61,67,93,9.57,overcast clouds
239,Adrar,MR,20.5022,-10.0711,73.24,32,40,9.62,scattered clouds
240,Olafsvik,IS,64.8945,-23.7142,38.3,78,71,13.0,moderate rain
241,Nadym,RU,65.5333,72.5167,14.56,96,63,5.68,broken clouds
242,Amarante Do Maranhao,BR,-5.5667,-46.7422,77.29,84,100,3.02,light rain
243,Carnarvon,AU,-24.8667,113.6333,66.27,72,40,24.16,scattered clouds
244,Sioux Lookout,CA,50.1001,-91.917,48.58,71,40,6.91,scattered clouds
245,Kununurra,AU,-15.7667,128.7333,84.18,65,88,3.44,overcast clouds
246,Vardo,NO,70.3705,31.1107,32.2,98,100,10.69,light snow
247,Umm Lajj,SA,25.0213,37.2685,81.84,54,0,7.94,clear sky
248,Aktau,KZ,43.65,51.2,27.18,29,0,14.05,clear sky
249,Whitehorse,CA,60.7161,-135.0538,35.02,80,75,13.0,broken clouds
250,Tual,ID,-5.6667,132.75,83.35,73,93,2.66,overcast clouds
251,Bathsheba,BB,13.2167,-59.5167,81.21,78,40,17.27,scattered clouds
252,Nome,US,64.5011,-165.4064,28.47,74,90,14.97,overcast clouds
253,Nuuk,GL,64.1835,-51.7216,27.21,63,89,5.75,overcast clouds
254,Luganville,VU,-15.5333,167.1667,81.52,75,100,2.55,overcast clouds
255,Touros,BR,-5.1989,-35.4608,81.5,80,48,11.56,scattered clouds
256,Champaign,US,40.1334,-88.2001,46.22,60,1,3.0,clear sky
257,Madison,US,34.7334,-86.5667,54.48,80,90,5.01,overcast clouds
258,Faya,SA,18.3851,42.4509,57.31,55,11,2.62,few clouds
259,Shostka,UA,51.863,33.4698,52.29,90,100,5.48,overcast clouds
260,Sakaiminato,JP,35.55,133.2333,51.78,93,75,1.14,broken clouds
261,Kruisfontein,ZA,-34.0033,24.7314,58.68,81,100,4.99,overcast clouds
262,Hobyo,SO,5.3505,48.5268,79.7,75,10,5.97,clear sky
263,Banjar,ID,-8.19,114.9675,80.46,76,97,2.21,overcast clouds
264,Leningradskiy,RU,69.3833,178.4167,-9.58,96,86,5.93,overcast clouds
265,Mpulungu,ZM,-8.7623,31.1141,78.87,44,61,3.62,broken clouds
266,Lasa,IT,46.6166,10.7002,35.62,74,21,3.65,few clouds
